Epoch,Accuracy,Loss,Val Accuracy,Val Loss
3,0.3157,1.9632,0.2936,2.0123
5,0.3997,1.6773,0.5448,1.3701
6,0.625,1.3094,0.5456,1.3683
7,0.4499,1.5147,0.5952,1.2114
9,0.4914,1.4457,0.6336,1.0603
10,0.75,0.8775,0.6352,1.0643
11,0.5349,1.3239,0.7688,0.7127
12,0.625,1.0937,0.7864,0.6957
13,0.5619,1.1996,0.6576,0.9388
14,0.625,0.7749,0.6552,0.9374
15,0.6084,1.1217,0.6192,0.9948
17,0.6127,1.0735,0.816,0.5441
18,0.75,1.0125,0.8192,0.5393
19,0.621,1.0354,0.7904,0.6227
20,0.875,0.7191,0.7824,0.6296
21,0.6547,0.9917,0.7456,0.7139
22,0.625,0.7605,0.744,0.717
23,0.6605,0.9371,0.6312,1.0164
24,0.75,0.8405,0.6272,1.0266
25,0.6871,0.9284,0.8256,0.4809
26,0.625,0.7968,0.8296,0.476
27,0.6834,0.8686,0.7992,0.5336
28,0.5,1.3258,0.7992,0.5333
29,0.7186,0.818,0.8336,0.4695
30,0.875,0.5554,0.8456,0.4574
31,0.7139,0.7862,0.8808,0.366
33,0.7477,0.7387,0.9016,0.3046
34,0.375,1.4271,0.9024,0.3065
35,0.7424,0.7618,0.8552,0.4049
36,0.625,1.1824,0.8528,0.4104
37,0.7401,0.733,0.8976,0.369
38,0.75,0.8056,0.9016,0.3598
39,0.7466,0.6958,0.836,0.4402
40,0.625,0.7331,0.8368,0.4379
41,0.7579,0.6728,0.9256,0.2436
42,0.625,0.556,0.928,0.2362
43,0.7399,0.7113,0.9096,0.284
44,0.875,0.3608,0.9088,0.286
45,0.7681,0.7017,0.9176,0.2379
46,0.5,1.1214,0.9192,0.2378
47,0.7594,0.7021,0.9208,0.2608
48,0.75,0.9076,0.9216,0.258
49,0.7584,0.672,0.944,0.2031
50,0.875,0.247,0.944,0.204
51,0.7778,0.63,0.7808,0.7468
52,1.0,0.2266,0.7832,0.7238
53,0.7833,0.6087,0.9528,0.1933
54,0.875,0.7799,0.9528,0.1922
55,0.7816,0.6359,0.9304,0.2107
56,0.875,0.6494,0.9312,0.2108
57,0.8081,0.5421,0.9368,0.2047
58,1.0,0.1523,0.9376,0.2045
59,0.8063,0.5462,0.9536,0.1503
60,1.0,0.2624,0.956,0.1498
61,0.8151,0.543,0.9512,0.1755
62,0.375,0.9416,0.9504,0.1775
63,0.8203,0.5341,0.9576,0.1545
65,0.7997,0.5818,0.952,0.1581
66,0.75,0.9959,0.952,0.1589
67,0.8165,0.5425,0.9488,0.1657
68,0.875,0.3501,0.9472,0.1661
69,0.8263,0.493,0.9352,0.225
70,0.875,0.3375,0.9352,0.2271
71,0.8174,0.5156,0.9568,0.1567
72,1.0,0.2126,0.9568,0.157
73,0.8224,0.5305,0.9688,0.1313
74,0.75,0.8931,0.968,0.1314
75,0.8145,0.5529,0.9488,0.1478
76,1.0,0.2436,0.9488,0.1483
77,0.8326,0.5199,0.9648,0.1329
78,0.875,0.3395,0.964,0.1334
79,0.819,0.5153,0.9672,0.1265
80,0.875,0.2829,0.9672,0.1272
81,0.8357,0.4869,0.9664,0.1287
82,0.625,0.577,0.9664,0.1286
83,0.8262,0.5121,0.9688,0.117
84,0.75,0.354,0.9688,0.1175
85,0.8301,0.5086,0.9688,0.1382
86,0.875,0.657,0.968,0.1381
87,0.8219,0.5026,0.9544,0.158
88,1.0,0.1249,0.9544,0.1573
89,0.8321,0.4985,0.968,0.1199
90,0.875,0.3494,0.9688,0.1192
91,0.8502,0.4497,0.968,0.1107
92,0.625,0.6037,0.968,0.1113
93,0.8501,0.4282,0.9624,0.1245
94,0.875,0.2052,0.9624,0.1253
95,0.8416,0.452,0.9688,0.1153
96,1.0,0.0937,0.9688,0.1147
97,0.8479,0.4766,0.968,0.1154
98,0.875,0.2457,0.9672,0.1166
99,0.8617,0.406,0.9568,0.1274
100,1.0,0.197,0.9568,0.1254
